,chords_numeric
326,"[1, 5, 6, 4, 1, 5, 4, 1]"
458,"[4, 2, 6, 1, 4, 2, 6, 1]"
176,"[4, 4, 2, 2, 5, 5, 1, 1, 1, 4, 4, 2, 2, 5, 5, 1]"
277,"[1, 4, 1, 5, 6, 4, 1, 5]"
104,"[6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4]"
464,"[1, 5, 2, 1, 5, 4, 1, 5, 2, 1, 5, 4]"
267,"[6, 4, 6, 6, 4, 2, 5, 1, 2, 4, 6, 6, 4, 2, 5, 1]"
26,"[4, 1, 5, 6, 4, 1, 5, 4, 1, 5, 6, 4, 1, 5]"
171,"[6, 4, 1, 5]"
132,"[5, 2, 1, 5, 2, 1, 5]"
486,[2]
212,"[1, 1, 4, 1, 1, 4]"
259,"[1, 5, 2, 4, 1, 5, 2, 4, 1]"
227,"[5, 3, 1, 5]"
449,"[4, 5, 6, 4, 5, 1, 5, 6, 5, 1, 5, 4, 3, 1]"
239,"[2, 4, 6, 1, 1, 2, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
342,"[6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2]"
516,"[1, 5, 4]"
50,"[5, 4, 5, 1, 4, 5, 1, 4, 5, 6, 4, 4, 3, 1, 4, 1, 3]"
337,"[1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 6, 6, 6, 6, 6]"
76,"[1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5]"
497,"[1, 5, 4, 2, 1, 6, 2, 2, 5, 1, 5, 4, 2, 1, 6, 2, 2, 2, 5, 1, 5, 4, 2, 1, 6, 2, 2, 2, 5, 1, 5, 4, 2, 1, 6, 5, 1, 4]"
122,[6]
373,"[1, 4, 1, 5, 1, 4, 1, 5, 1, 4, 1, 5, 6, 1, 6, 5]"
380,"[1, 5, 6, 2, 4, 6, 5, 1, 5, 6, 2, 4, 6, 4, 5, 6, 2, 6, 2, 4, 1, 2, 4, 5, 1, 5, 6, 2, 4, 5, 1, 5, 6, 4, 5, 1]"
226,"[5, 3, 1, 5, 5, 3, 1, 5]"
368,"[1, 1, 6, 4, 1, 1, 6, 4]"
82,"[1, 5, 6, 4]"
113,"[1, 5, 6, 4, 5, 4, 5, 6, 5, 1, 4]"
94,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
294,"[1, 5, 4, 1, 1, 5, 4, 1]"
148,"[6, 1, 4, 1, 1, 5, 4, 1, 2, 1, 6, 1, 4, 1, 1, 5, 4, 1, 2, 1]"
74,"[1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5]"
436,"[4, 5, 1]"
399,"[6, 5, 1, 6, 5, 4, 1]"
53,"[4, 5, 1, 5, 6, 3, 4, 2, 5]"
192,"[2, 4, 1, 5, 2, 4, 1, 5]"
67,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
279,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
332,"[6, 4, 5, 2, 6, 5, 1, 4]"
402,"[1, 5, 6, 3, 5, 1, 5, 6, 3, 5, 1]"
397,"[6, 5, 1, 6, 5, 1]"
558,"[4, 4, 3, 6, 2, 5, 1, 6, 1, 4, 4, 3, 6, 2, 5, 1]"
59,"[6, 5, 1, 4, 6, 5, 1, 4]"
441,"[4, 5, 3, 6, 4, 5, 3, 6, 4, 5, 3, 6, 5, 4, 5, 3, 6, 1, 4]"
425,"[2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1]"
288,"[1, 1, 5, 1]"
388,"[1, 5, 2, 4, 1, 5, 2, 4]"
495,"[6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5]"
86,"[4, 5, 2, 1, 5, 4, 2, 1]"
75,"[1, 5, 6, 4, 1, 5, 1, 1, 5, 6, 4, 1, 5, 1]"
31,"[1, 5, 6, 1, 5]"
476,"[1, 5, 5, 5, 4, 1, 5, 1, 5, 1, 5, 4, 1, 5, 4, 1, 5]"
518,"[2, 5, 6, 1, 2, 5, 6, 1, 2, 5, 1, 1, 4, 4, 2, 3, 5]"
560,"[4, 4, 3, 6, 2, 5, 1, 3, 1, 4, 4, 3, 6, 2, 5, 1]"
286,"[1, 1, 5, 1]"
450,"[1, 6, 4, 5, 1]"
134,"[5, 2, 1, 5, 2, 1, 6]"
169,"[6, 4, 1, 5]"
213,"[1, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 4]"
364,"[1, 1, 6, 4, 1, 4, 6, 4, 1, 4, 6, 5, 4, 1, 5, 1]"
512,"[6, 6, 6, 6, 6, 4, 1, 6, 4, 1]"
549,"[1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1]"
517,"[1, 5, 4, 1, 5, 4, 4]"
452,"[4, 5, 6, 4, 5, 1, 5, 6, 5, 1, 5, 4, 3, 4]"
341,"[4, 1, 5, 6, 6, 5, 1, 2]"
235,"[6, 1, 5, 4, 6, 1, 5, 4, 6, 1, 5, 4, 6, 1, 5, 4]"
250,"[1, 5, 6, 4, 3, 1, 5, 6, 4, 3, 1]"
278,"[1, 5, 6, 4]"
525,"[3, 5, 1, 5, 1, 5, 5, 5, 3, 5, 1, 5, 1, 5, 1, 1]"
339,"[1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 6, 6, 6, 6, 6]"
307,"[6, 3, 6, 3, 4]"
398,"[4, 1, 5, 1, 4, 1, 5, 5, 4, 1, 5, 1]"
15,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
478,"[1, 5, 5, 5, 4, 1, 5, 1, 5, 5, 5, 4, 1, 5, 4, 1, 5]"
385,"[1, 5, 4]"
96,"[1, 2, 4, 2, 1, 2, 4, 2, 5, 2, 4, 2, 1, 2, 4, 2]"
466,"[1, 5, 2, 1, 5, 4, 1, 5, 2, 1, 5, 4]"
453,"[5, 6, 5, 1, 5, 4, 5, 6, 5]"
317,"[1, 5, 6, 4]"
252,"[1, 5, 6, 4, 3, 1, 5, 6, 4, 3, 1]"
440,"[1, 5, 6, 1, 5, 6, 1, 5, 6, 1, 5, 6]"
284,"[1, 5, 6, 4, 1, 5, 6, 4]"
262,"[6, 5, 1, 4, 1, 5, 6, 5, 1, 4, 1, 5]"
421,"[1, 5, 5, 4, 3, 1, 1, 5, 1]"
126,"[6, 1, 5, 4, 6, 1, 5, 2, 6, 1, 5, 4, 2, 1, 4, 2, 1, 4]"
331,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 3, 4, 4]"
23,"[5, 4, 5, 5, 6, 5]"
40,"[1, 5, 5, 6, 4, 1, 5, 6, 4, 1]"
461,"[4, 2, 6, 1]"
159,"[1, 4, 2, 4, 5, 1]"
103,"[1, 2, 4, 6, 5, 4, 1, 2, 4, 6, 5, 4]"
305,"[6, 6, 3, 3, 6, 6, 3, 4]"
181,"[4, 1, 1, 6, 4, 1, 2, 4]"
57,"[6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1]"
329,"[6, 5, 1, 4, 1, 5, 6, 5, 4, 1, 5, 5]"
384,"[5, 3, 1, 5, 1, 5, 3, 1, 5, 1, 3, 1]"
407,"[5, 6, 3, 5, 1, 5, 6, 3, 5]"
130,"[5, 2, 1]"
371,"[1, 4, 1, 5, 1, 4, 1, 5, 1, 4, 1, 5, 6, 1, 6, 5]"
144,"[1, 5, 6, 4, 4, 1, 5, 4, 1, 2, 1]"
206,"[6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 5, 1]"
41,"[1, 5, 6, 5, 4, 1]"
45,"[1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
254,"[1, 5, 2, 4, 1, 5, 2, 4]"
60,"[6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1]"
521,"[4, 5, 1, 5, 4, 5, 1, 1, 4, 5, 1, 3, 4, 4, 3, 5]"
349,"[4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6]"
554,"[1, 2, 3, 4, 3, 3, 5, 2, 3, 3, 2, 5]"
437,"[3, 5, 3, 1, 5, 3, 1, 5, 4]"
44,"[4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
482,"[1, 2, 4, 1, 1, 2, 4, 1]"
470,"[1, 1, 4, 1, 1, 4]"
293,"[1, 5, 4, 1, 1, 5, 4, 1]"
527,"[1, 4, 5, 1, 4, 5, 6, 4, 5, 1, 4, 5, 1, 4, 5]"
242,"[6, 1, 6, 1, 6, 5, 1]"
528,"[1, 6, 6, 4, 1, 2, 1, 6, 4, 1, 5, 1, 6, 6, 4, 1, 2, 1, 6, 4, 2, 5]"
296,"[1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1, 1, 5, 4, 1]"
430,"[2, 1, 1, 1, 2, 1, 5, 1, 2, 1, 1, 1, 2, 1, 5, 1]"
432,"[3, 5, 3, 5, 1, 1, 1, 5, 4, 1, 1, 5]"
355,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
276,"[4, 1, 5, 5, 4, 1, 5, 5, 4, 1, 5, 5]"
313,"[4, 5, 6, 1, 5, 4, 5, 6, 1, 5, 1]"
312,"[1, 5, 6, 5, 5, 1, 5, 6, 5, 5, 1, 5, 6, 5, 5, 1, 5, 6, 5, 5]"
238,"[1, 1, 6, 4, 1, 4, 1, 1, 6, 4, 1]"
543,"[1, 5, 4, 1, 5, 4, 1, 5, 4]"
333,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 3, 1, 4]"
80,"[1, 6, 5, 4, 1, 6, 5, 4]"
251,"[6, 4, 6, 1, 6, 4, 6, 4, 6, 4, 6, 1, 6, 4, 6, 4, 4, 4]"
232,"[6, 1, 5, 4, 6, 1, 5, 4]"
463,"[1, 5, 2, 1, 5, 4, 1, 5, 2, 1, 5, 4]"
511,"[6, 4, 1, 5, 6, 4, 1, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
393,"[1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 6, 5, 4, 1]"
63,"[5, 1, 1, 2, 5, 1, 1, 6]"
263,"[2, 5, 1, 5, 6, 2, 5, 1, 5, 6]"
457,"[4, 2, 6, 1, 4, 2, 6]"
318,"[1, 5, 6, 4]"
207,"[6, 4, 1, 6, 4, 1, 5, 6, 4, 1, 7, 6, 4, 1]"
221,"[6, 1, 4, 4, 6, 1, 4, 6, 1, 1, 4, 6, 1, 6, 1, 4, 4, 6, 4, 6, 4]"
507,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
197,[5]
220,"[6, 1, 1, 4, 6, 1, 1, 6, 1, 4, 4, 6, 1, 6, 1, 1, 4, 6, 4, 6, 4]"
78,"[1, 6, 5, 4, 1, 6, 5, 4]"
537,"[4, 4, 5, 4, 4, 5]"
18,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 2]"
465,"[1, 5, 2, 1, 5, 4, 1, 5, 2, 1, 5, 4]"
266,"[1, 6, 1, 6, 6, 4, 5, 1, 1, 6, 4, 4, 1, 1]"
376,"[1, 2, 4, 2, 6, 5, 1, 5, 6, 2, 4, 6, 1, 5, 6, 5, 6, 5, 4, 1, 1, 4, 5, 1, 5, 6, 2, 6, 1, 5, 6, 4, 5, 1, 4, 1, 5]"
268,"[1, 6, 4, 6, 6, 4, 5, 1, 1, 6, 1, 4, 1, 1]"
492,"[6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5]"
415,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
351,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
550,"[2, 6, 4, 1, 1]"
330,"[6, 4, 5, 1, 2, 6, 4, 5, 1, 4, 6, 4, 5, 1, 2, 6, 5, 1]"
345,"[4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6]"
17,"[6, 4, 1, 5]"
161,"[1, 5, 6, 3, 4, 4, 1, 2, 5, 1, 1, 5, 6, 3, 4, 4, 1, 2, 5, 1]"
487,"[2, 4, 1, 2, 1, 2, 2, 4, 1, 2, 1, 6, 2]"
490,"[2, 4, 1, 2, 1, 2, 2, 4, 1, 2, 1, 6, 2]"
274,"[4, 1, 5, 5, 4, 1, 5, 5, 4, 1, 5, 5]"
281,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
260,"[6, 5, 1, 4, 1, 5, 6, 5, 1]"
119,"[4, 5, 1, 5, 4, 5, 1, 5, 4, 5, 1, 5, 4, 5, 1]"
97,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
62,"[5, 1, 1, 2, 5, 1, 1, 2]"
304,"[1, 3, 4, 5, 1, 3, 4, 5]"
146,"[6, 1, 4, 1, 1, 5, 4, 1, 2, 1]"
198,"[5, 4, 5, 4, 5, 1, 4, 5, 4, 5]"
79,"[1, 5, 6, 4, 1]"
253,"[1, 1]"
504,"[6, 5, 1, 4, 6, 5, 4, 1, 6, 5, 1, 4, 6, 5, 4, 1]"
534,"[5, 4, 1, 5, 5, 4, 1, 5]"
248,"[1, 5, 6, 4, 3, 1, 5, 6, 4, 3, 1, 5]"
117,"[1, 5, 6, 4]"
568,"[1, 5, 6, 4, 1, 5, 6, 4]"
282,"[1, 5, 6, 4, 1, 5, 6, 4]"
451,"[1, 6, 4, 5, 6]"
265,"[1, 6, 4, 6, 6, 4, 5, 1, 1, 6, 4, 4, 1, 1]"
303,"[6, 1, 4, 1, 2, 2, 1, 5]"
524,"[3, 5, 1, 5, 1, 5, 5, 1, 3, 5, 1, 5, 1, 5, 5, 5]"
455,"[4, 2, 6, 1, 4, 2, 6, 1, 4, 2, 6, 1, 4, 2, 6, 1]"
456,"[4, 2, 6, 1, 4, 2, 6, 1]"
121,"[4, 5, 1, 5, 4, 5, 1, 5, 4, 5, 1, 5, 4, 5, 4, 5, 1, 5, 4, 5]"
77,"[1, 6, 5, 4]"
526,"[1, 6, 6, 4, 1, 2, 1, 6, 4, 1, 2, 1, 6, 6, 4, 1, 2, 1, 6, 4, 2, 5]"
400,"[6, 5, 1, 5, 1, 4, 1, 2, 1]"
106,"[6, 5, 4, 6, 5, 4, 6, 5, 6]"
61,"[5, 1, 1, 2]"
506,"[6, 5, 1, 4, 6, 5, 4, 1, 6, 5, 1, 4, 6, 5, 4, 1]"
343,"[4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6]"
422,"[1, 5, 5, 4, 3, 1, 4, 5, 1]"
193,"[5, 4, 1, 2, 1, 4, 1, 2, 1, 4, 1, 2, 5, 4, 5]"
34,"[3, 1, 3, 1, 3, 5, 3, 1, 2, 5]"
363,"[4, 1, 4, 6, 5, 4, 1, 4]"
481,"[1, 2, 4, 1, 1, 2, 4, 1]"
3,"[1, 6, 1, 6, 4, 5, 1, 5, 1, 4, 5, 6, 4, 5, 4, 6]"
273,"[1, 3, 6, 3, 1, 3, 6, 3, 1, 3, 6, 3, 1, 3, 6, 3]"
289,"[4, 5, 1, 1, 6, 6, 4, 5, 1, 1, 6, 6, 4, 5, 1]"
85,"[4, 5, 2, 1, 5, 4, 2, 1]"
328,"[1, 5, 6, 4, 1, 5, 4, 1]"
209,"[6, 4, 1, 6, 4, 1, 5, 6, 4, 1, 7, 6, 4, 1]"
327,"[1, 6, 5, 4, 1, 1, 6, 5, 4, 1]"
460,"[4, 2, 6, 1, 4, 2, 6, 1]"
424,"[2, 1, 2, 1]"
178,"[4, 4, 2, 2, 5, 5, 1, 1, 1, 4, 4, 2, 2, 5, 5, 1]"
491,"[2, 4, 1, 2, 1, 6, 2, 2, 4, 1, 2, 1, 6, 2]"
514,"[1, 5, 4, 1]"
519,"[2, 5, 6, 1, 2, 5, 6, 1, 2, 5, 1, 4, 4, 2, 2, 3, 5]"
215,"[4, 5, 1, 1, 4, 4, 4, 5, 1, 1, 4, 4, 4, 5, 1, 1, 4, 1, 4, 5, 1]"
1,"[1, 6, 1, 6, 4, 5, 1, 5, 1, 4, 5, 6, 4, 5, 1, 6]"
488,"[2, 4, 1, 2, 1, 6, 2, 2, 4, 1, 2, 1, 6, 2]"
234,"[4, 2]"
404,"[1, 5, 6, 3, 5, 1, 5, 6, 3, 5, 6]"
111,"[1, 5, 6, 4, 5, 1, 5, 6, 4, 5]"
426,"[2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1]"
299,"[6, 3, 4, 1, 2, 1, 6, 3, 4, 1, 2, 1, 1, 1]"
167,"[1, 1, 1, 1]"
91,"[1, 5, 6, 4, 4, 5, 1, 6, 5, 1, 5, 6, 1, 4, 5, 1, 6, 5]"
222,"[6, 1, 1, 4, 6, 1, 4, 6, 1, 1, 4, 6, 4, 6, 1, 4, 4, 6, 4, 6, 4]"
500,"[6, 5, 1, 4]"
479,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4]"
241,"[1, 4, 5, 1, 4, 5, 6, 5, 4, 1, 6, 5, 4, 1]"
270,"[1, 6, 4, 6, 6, 4, 5, 1, 1, 6, 4, 4, 1, 1]"
202,"[5, 5]"
224,"[5, 3, 1, 5]"
237,"[1, 1, 6, 4, 1, 1, 1, 1, 6, 4, 1]"
562,"[4, 5, 1, 6, 4, 5]"
530,"[1, 6, 6, 4, 1, 2, 1, 6, 4, 1, 5, 1, 6, 6, 4, 1, 2, 1, 6, 4, 2, 5]"
89,"[1, 5, 6, 4, 4, 5, 1, 6, 5, 1, 5, 6, 4, 4, 5, 1, 5, 6, 4, 4, 5, 1, 6, 5]"
467,"[1, 5, 2]"
137,"[1, 3, 1, 3]"
